date_time,test_number,PRR_A,PRR_B
2019-08-21 23:37:10+00:00,72625,64.0,92.0
2019-08-22 13:57:10+00:00,72626,68.0,84.0
2019-08-22 05:28:20+00:00,72627,80.0,92.0
2019-08-22 11:19:30+00:00,72628,80.0,92.0
2019-08-22 18:43:50+00:00,72629,80.0,96.0
2019-08-22 16:49:10+00:00,72630,72.0,96.0
2019-08-22 05:49:50+00:00,72631,88.0,92.0
2019-08-22 02:36:20+00:00,72632,88.0,88.0
2019-08-22 08:27:30+00:00,72633,76.0,76.0
2019-08-22 19:48:20+00:00,72634,88.0,92.0
2019-08-22 04:52:30+00:00,72635,84.0,92.0
2019-08-22 12:38:20+00:00,72636,72.0,84.0
2019-08-22 00:20:10+00:00,72637,76.0,92.0
2019-08-22 22:40:20+00:00,72638,68.0,88.0
2019-08-22 00:34:30+00:00,72639,84.0,92.0
2019-08-22 02:22:00+00:00,72640,88.0,96.0
2019-08-22 10:43:40+00:00,72641,76.0,88.0
2019-08-22 06:47:10+00:00,72642,72.0,84.0
2019-08-22 14:47:20+00:00,72643,68.0,72.0
2019-08-22 07:37:20+00:00,72644,80.0,80.0
2019-08-22 04:23:50+00:00,72645,84.0,92.0
2019-08-22 20:24:10+00:00,72646,76.0,88.0
2019-08-22 12:52:40+00:00,72647,72.0,84.0
2019-08-22 16:27:40+00:00,72648,84.0,88.0
2019-08-22 23:51:01+00:00,72673,76.0,88.0
2019-08-23 09:39:01+00:00,72674,80.0,92.0
2019-08-23 12:41:01+00:00,72675,96.0,96.0
2019-08-23 11:52:01+00:00,72676,80.0,84.0
2019-08-23 22:50:01+00:00,72677,84.0,92.0
2019-08-23 22:43:01+00:00,72678,88.0,96.0
2019-08-23 04:24:01+00:00,72679,92.0,92.0
2019-08-23 08:08:01+00:00,72680,80.0,84.0
2019-08-23 22:57:01+00:00,72681,92.0,
2019-08-23 12:13:01+00:00,72682,64.0,92.0
2019-08-23 17:28:01+00:00,72683,92.0,96.0
2019-08-23 08:15:01+00:00,72684,80.0,92.0
2019-08-23 17:35:01+00:00,72685,92.0,92.0
2019-08-23 10:07:01+00:00,72686,76.0,84.0
2019-08-23 20:02:01+00:00,72687,88.0,92.0
2019-08-23 21:19:01+00:00,72688,92.0,96.0
2019-08-23 17:42:01+00:00,72689,88.0,96.0
2019-08-23 14:05:01+00:00,72690,72.0,84.0
2019-08-23 05:34:01+00:00,72691,84.0,84.0
2019-08-23 11:24:01+00:00,72692,88.0,92.0
2019-08-23 05:48:01+00:00,72693,84.0,92.0
2019-08-23 13:58:01+00:00,72694,84.0,80.0
2019-08-23 15:36:01+00:00,72695,88.0,92.0
2019-08-23 16:46:01+00:00,72696,84.0,84.0
2019-08-24 22:22:01+00:00,72750,,
2019-08-24 07:47:01+00:00,72751,84.0,96.0
2019-08-24 17:21:01+00:00,72752,88.0,92.0
2019-08-24 11:31:01+00:00,72753,92.0,96.0
2019-08-24 15:36:01+00:00,72754,88.0,96.0
2019-08-24 10:35:01+00:00,72755,88.0,96.0
2019-08-24 02:04:01+00:00,72756,92.0,96.0
2019-08-24 08:22:01+00:00,72757,88.0,92.0
2019-08-24 05:48:01+00:00,72758,92.0,96.0
2019-08-24 22:29:01+00:00,72759,92.0,92.0
2019-08-24 09:39:01+00:00,72760,92.0,96.0
2019-08-24 19:55:01+00:00,72761,84.0,92.0
2019-08-24 06:23:01+00:00,72762,88.0,96.0
2019-08-24 05:27:01+00:00,72763,88.0,92.0
2019-08-24 07:33:01+00:00,72764,88.0,88.0
2019-08-24 04:24:01+00:00,72765,92.0,96.0
2019-08-24 21:40:01+00:00,72766,84.0,92.0
2019-08-24 17:28:01+00:00,72767,80.0,96.0
2019-08-24 15:29:01+00:00,72768,88.0,92.0
2019-08-24 13:58:01+00:00,72769,84.0,92.0
2019-08-24 03:35:01+00:00,72770,92.0,88.0
2019-08-24 08:15:01+00:00,72771,88.0,96.0
2019-08-24 18:52:01+00:00,72772,88.0,92.0
2019-08-23 23:58:01+00:00,72773,88.0,92.0
2019-08-25 14:26:01+00:00,72820,68.0,88.0
2019-08-25 20:09:01+00:00,72821,84.0,88.0
2019-08-25 18:17:01+00:00,72822,80.0,92.0
2019-08-25 09:32:01+00:00,72823,92.0,96.0
2019-08-25 20:51:01+00:00,72824,,
2019-08-25 17:49:01+00:00,72825,84.0,84.0
2019-08-25 04:52:01+00:00,72826,80.0,88.0
2019-08-25 00:40:01+00:00,72827,80.0,96.0
2019-08-25 17:56:01+00:00,72828,84.0,96.0
2019-08-25 11:17:01+00:00,72829,76.0,92.0
2019-08-25 02:39:01+00:00,72830,84.0,84.0
2019-08-25 10:49:01+00:00,72831,80.0,96.0
2019-08-25 22:29:01+00:00,72832,84.0,88.0
2019-08-25 16:53:01+00:00,72833,76.0,92.0
2019-08-25 14:19:01+00:00,72834,76.0,88.0
2019-08-25 09:18:01+00:00,72835,80.0,88.0
2019-08-25 15:36:01+00:00,72836,84.0,96.0
2019-08-25 06:30:01+00:00,72837,80.0,92.0
2019-08-25 09:25:01+00:00,72838,84.0,92.0
2019-08-25 02:25:01+00:00,72839,76.0,84.0
2019-08-25 04:38:01+00:00,72840,84.0,96.0
2019-08-25 03:21:01+00:00,72841,84.0,88.0
2019-08-25 13:44:01+00:00,72842,80.0,76.0
2019-08-25 00:47:01+00:00,72843,88.0,96.0
2019-08-26 15:57:02+00:00,72896,88.0,84.0
2019-08-26 08:08:02+00:00,72897,68.0,88.0
2019-08-26 04:24:02+00:00,72898,80.0,92.0
2019-08-26 17:35:02+00:00,72899,64.0,84.0
2019-08-26 07:47:02+00:00,72900,80.0,92.0
2019-08-26 14:40:02+00:00,72901,64.0,84.0
2019-08-26 09:39:02+00:00,72902,68.0,84.0
2019-08-26 08:50:02+00:00,72903,84.0,88.0
2019-08-26 17:28:02+00:00,72904,76.0,80.0
2019-08-26 16:46:02+00:00,72905,80.0,84.0
2019-08-26 05:20:02+00:00,72906,76.0,92.0
2019-08-26 16:11:02+00:00,72907,72.0,88.0
2019-08-25 23:51:02+00:00,72908,80.0,96.0
2019-08-26 07:40:02+00:00,72909,84.0,84.0
2019-08-26 12:34:02+00:00,72910,76.0,84.0
2019-08-26 02:25:02+00:00,72911,80.0,92.0
2019-08-26 02:46:02+00:00,72912,80.0,88.0
2019-08-26 21:33:02+00:00,72913,80.0,96.0
2019-08-26 21:26:02+00:00,72914,88.0,96.0
2019-08-26 22:57:02+00:00,72915,92.0,96.0
2019-08-26 17:49:02+00:00,72916,72.0,84.0
2019-08-26 06:23:02+00:00,72917,72.0,88.0
2019-08-26 19:48:02+00:00,72918,72.0,92.0
2019-08-26 07:19:02+00:00,72919,76.0,84.0
2019-08-27 15:57:01+00:00,72989,80.0,84.0
2019-08-27 10:49:01+00:00,72990,88.0,92.0
2019-08-27 04:31:01+00:00,72991,80.0,96.0
2019-08-27 05:27:01+00:00,72992,88.0,92.0
2019-08-26 23:44:01+00:00,72993,84.0,84.0
2019-08-27 22:29:01+00:00,72994,80.0,88.0
2019-08-27 12:34:01+00:00,72995,88.0,96.0
2019-08-27 05:20:01+00:00,72996,80.0,88.0
2019-08-27 02:18:01+00:00,72997,84.0,88.0
2019-08-27 16:53:01+00:00,72998,92.0,92.0
2019-08-27 00:40:01+00:00,72999,84.0,96.0
2019-08-27 19:20:01+00:00,73000,92.0,88.0
2019-08-27 20:23:01+00:00,73001,80.0,92.0
2019-08-27 15:50:01+00:00,73002,80.0,88.0
2019-08-27 18:52:01+00:00,73003,80.0,88.0
2019-08-27 01:50:01+00:00,73004,84.0,80.0
2019-08-27 14:47:01+00:00,73005,84.0,88.0
2019-08-27 09:18:01+00:00,73006,88.0,88.0
2019-08-27 19:48:01+00:00,73007,80.0,92.0
2019-08-27 13:23:01+00:00,73008,80.0,88.0
2019-08-27 10:21:01+00:00,73009,80.0,88.0
2019-08-27 00:12:01+00:00,73010,76.0,96.0
2019-08-27 22:36:01+00:00,73011,88.0,92.0
2019-08-27 16:18:01+00:00,73012,76.0,92.0
2019-08-28 23:11:01+00:00,73068,60.0,72.0
2019-08-28 05:34:01+00:00,73069,60.0,
2019-08-28 21:40:01+00:00,73070,80.0,92.0
2019-08-28 22:08:01+00:00,73071,64.0,76.0
2019-08-28 15:22:01+00:00,73072,64.0,72.0
2019-08-28 02:11:01+00:00,73073,48.0,72.0
2019-08-28 19:48:01+00:00,73074,60.0,64.0
2019-08-28 01:22:01+00:00,73075,84.0,84.0
2019-08-28 09:25:01+00:00,73076,52.0,64.0
2019-08-28 03:56:01+00:00,73077,56.0,72.0
2019-08-28 16:25:01+00:00,73078,56.0,76.0
2019-08-28 09:39:01+00:00,73079,68.0,84.0
2019-08-28 14:47:01+00:00,73080,56.0,72.0
2019-08-28 18:24:01+00:00,73081,52.0,72.0
2019-08-28 11:45:01+00:00,73082,48.0,80.0
2019-08-28 05:41:01+00:00,73083,60.0,72.0
2019-08-28 21:54:01+00:00,73084,56.0,68.0
2019-08-27 23:58:01+00:00,73085,80.0,88.0
2019-08-28 22:57:01+00:00,73086,76.0,88.0
2019-08-28 10:07:01+00:00,73087,48.0,60.0
2019-08-28 07:54:01+00:00,73088,56.0,68.0
2019-08-28 00:05:01+00:00,73089,80.0,84.0
2019-08-28 17:42:01+00:00,73090,64.0,80.0
2019-08-28 16:46:01+00:00,73091,64.0,80.0
2019-08-29 20:02:01+00:00,73140,88.0,88.0
2019-08-29 17:49:01+00:00,73141,88.0,92.0
2019-08-29 22:22:01+00:00,73142,96.0,96.0
2019-08-29 15:43:01+00:00,73143,80.0,88.0
2019-08-29 08:22:01+00:00,73144,76.0,84.0
2019-08-29 18:45:01+00:00,73145,84.0,92.0
2019-08-29 22:15:01+00:00,73146,88.0,80.0
2019-08-29 23:18:01+00:00,73147,80.0,96.0
2019-08-29 23:11:01+00:00,73148,84.0,96.0
2019-08-29 12:13:01+00:00,73149,84.0,88.0
2019-08-29 00:47:01+00:00,73150,60.0,64.0
2019-08-29 18:17:01+00:00,73151,88.0,92.0
2019-08-29 02:04:01+00:00,73152,84.0,84.0
2019-08-29 14:33:01+00:00,73153,88.0,92.0
2019-08-29 06:30:01+00:00,73154,88.0,88.0
2019-08-29 17:56:01+00:00,73155,76.0,92.0
2019-08-29 02:46:01+00:00,73156,92.0,88.0
2019-08-29 18:31:01+00:00,73157,80.0,92.0
2019-08-29 17:35:01+00:00,73158,88.0,88.0
2019-08-29 05:48:01+00:00,73159,92.0,88.0
2019-08-29 07:54:01+00:00,73160,84.0,92.0
2019-08-29 07:26:01+00:00,73161,84.0,92.0
2019-08-29 10:42:01+00:00,73162,80.0,80.0
2019-08-29 07:19:01+00:00,73163,84.0,88.0
2019-08-30 23:11:01+00:00,73208,96.0,92.0
2019-08-30 13:51:01+00:00,73209,76.0,88.0
2019-08-30 18:52:01+00:00,73210,88.0,96.0
2019-08-30 21:26:01+00:00,73211,76.0,96.0
2019-08-30 03:21:01+00:00,73212,88.0,92.0
2019-08-30 20:30:01+00:00,73213,80.0,96.0
2019-08-30 09:53:01+00:00,73214,76.0,88.0
2019-08-30 07:54:01+00:00,73215,88.0,92.0
2019-08-30 10:00:01+00:00,73216,76.0,88.0
2019-08-30 16:04:01+00:00,73217,84.0,92.0
2019-08-30 06:23:01+00:00,73218,88.0,92.0
2019-08-30 15:57:01+00:00,73219,88.0,92.0
2019-08-30 09:32:01+00:00,73220,88.0,92.0
2019-08-30 01:29:01+00:00,73221,84.0,88.0
2019-08-30 14:26:01+00:00,73222,84.0,84.0
2019-08-30 03:35:01+00:00,73223,92.0,92.0
2019-08-30 14:19:01+00:00,73224,80.0,92.0
2019-08-30 12:41:01+00:00,73225,84.0,96.0
2019-08-30 18:45:01+00:00,73226,80.0,92.0
