time(s),delay(ms)
3.2510529999999997,46.542
3.344293,46.63
3.3443560000000003,46.647
3.34437,46.62
3.344379,46.612
3.344413,46.633
3.344433,46.641
3.344453,46.648
3.344473,46.653
3.3444920000000002,46.656
3.344508,46.659
3.3445259999999997,46.664
3.437348,46.316
3.437404,46.329
3.444907,47.15
3.444946,47.133
3.450703,46.372
3.450743,46.371
3.458084,47.146
3.458144,47.159
3.4632069999999997,45.601
3.46325,45.589
3.470378,46.225
3.470437,46.24
3.477541,46.727
3.4776,46.742
3.483665,46.261
3.483708,46.266
3.490922,46.864
3.4909679999999996,46.803
3.49702,46.391
3.49708,46.409
3.530806,46.727
3.530857,46.743
3.533898,46.447
3.533942,46.443
3.539454,46.021
3.539513,46.036
3.545309,45.835
3.545352,45.832
3.5519600000000002,46.749
3.5520189999999996,46.784
3.557505,46.474
3.557561,46.49
3.563256,46.501
3.563301,46.498
3.568375,45.82
3.5684250000000004,45.817
3.57429,45.969
3.574332,45.957
3.580603,46.591
3.5806430000000002,46.598
3.580654,46.6
3.580662,46.599
3.586808,47.041
3.586849,47.051
3.5918850000000004,46.362
3.591913,46.354
3.597183,46.189
3.59721,46.167
3.6031880000000003,46.76
3.608136,46.29
3.608172,46.278
3.6141520000000003,46.903
3.614199,46.908
3.620007,47.282
3.620055,47.274
3.6247779999999996,46.627
3.624815,46.61
3.627493,46.198
3.62752,46.169
3.630513,46.148
3.6305569999999996,46.164
3.6331149999999997,45.616
3.633143,45.618
3.636079,45.459
3.6361,45.453
3.6408,47.027
3.640837,47.038
3.64275,46.017
3.642793,46.034
3.642803,46.034
3.6451640000000003,45.406
3.645192,45.408
3.648853,46.113
3.648911,46.132
3.65309,47.353
3.6531439999999997,47.366
3.65559,46.869
3.65564,46.863
3.6580410000000003,46.358
3.658069,46.332
3.660621,46.086
3.660657,46.092
3.6632779999999996,45.754
3.66332,45.769
3.666673,46.245
3.6667020000000003,46.239
3.669697,46.321
3.6697420000000003,46.311
3.672105,45.901
3.672142,45.911
3.67577,46.69
3.675813,46.676
3.678137,46.31
3.678164,46.292
3.6815390000000003,46.823
3.681581,46.839
3.6833739999999997,45.953
3.683418,45.969
3.6834279999999997,45.969
3.686166,45.936
3.686192,45.923
3.689823,47.022
3.689858,47.02
3.691728,46.291
3.6917649999999997,46.301
3.6950149999999997,46.972
3.695051,46.953
3.69661,46.011
3.696635,45.992
3.6997809999999998,46.648
3.699808,46.638
3.70144,45.741
3.701467,45.737
3.704615,46.365
3.704638,46.363
